index, time, unrolled, speed, value, x, y
5_3_66,0.000136,215,1.58088e+06,0.2,2,4
2_2_17,3e-06,5,1.66667e+06,0.333333,1,1
4_4_70,0.001182,2429,2.05499e+06,0.142857,2,1
6_2_54,1e-05,12,1.2e+06,0.333333,1,2
5_3_42,0.000131,207,1.58015e+06,0.2,4,4
3_4_14,0.000167,435,2.60479e+06,0.142857,0,2
6_2_90,1e-05,12,1.2e+06,0.333333,4,2
3_4_24,0.000168,434,2.58333e+06,0.142857,2,1
4_5_18,0.023367,47695,2.04113e+06,0.111111,3,3
2_2_14,2e-06,3,1.5e+06,0.333333,0,0
4_4_66,0.00121,2393,1.97769e+06,0.142857,2,1
4_5_54,0.016063,28735,1.78889e+06,0.111111,1,3
3_2_34,4e-06,4,1e+06,0.333333,2,0
5_3_54,0.000117,197,1.68376e+06,0.2,4,1
4_2_86,5e-06,8,1.6e+06,0.333333,1,3
3_2_58,6e-06,7,1.16667e+06,0.333333,1,2
6_2_0,9e-06,12,1.33333e+06,0.333333,4,2
4_2_27,6e-06,8,1.33333e+06,0.333333,0,3
3_4_10,7.7e-05,218,2.83117e+06,0.142857,2,2
3_3_59,3.6e-05,75,2.08333e+06,0.2,2,1
3_4_15,0.000175,455,2.6e+06,0.142857,2,1
5_2_20,7e-06,10,1.42857e+06,0.333333,0,3
2_3_81,7e-06,17,2.42857e+06,0.2,1,1
4_4_55,0.001537,3306,2.15094e+06,0.142857,3,1
4_2_82,6e-06,8,1.33333e+06,0.333333,1,3
2_2_13,3e-06,5,1.66667e+06,0.333333,1,1
5_2_14,8e-06,11,1.375e+06,0.333333,2,2
6_2_35,1e-05,13,1.3e+06,0.333333,5,2
4_5_72,0.023099,47784,2.06866e+06,0.111111,3,3
4_2_35,5e-06,8,1.6e+06,0.333333,0,3
3_5_72,0.001226,3291,2.68434e+06,0.111111,2,1
4_2_91,6e-06,8,1.33333e+06,0.333333,1,3
4_4_88,0.000507,1137,2.2426e+06,0.142857,0,2
6_3_28,0.000192,291,1.51562e+06,0.2,3,5
2_2_11,3e-06,5,1.66667e+06,0.333333,1,1
5_3_6,0.000125,205,1.64e+06,0.2,0,2
3_4_13,0.000174,454,2.6092e+06,0.142857,2,1
2_3_32,7e-06,17,2.42857e+06,0.2,1,1
2_2_24,3e-06,5,1.66667e+06,0.333333,1,1
5_2_99,8e-06,11,1.375e+06,0.333333,2,2
4_3_13,5.8e-05,121,2.08621e+06,0.2,3,2
5_3_44,7.6e-05,133,1.75e+06,0.2,1,2
6_2_58,1e-05,12,1.2e+06,0.333333,4,3
2_3_65,8e-06,18,2.25e+06,0.2,1,1
2_3_13,8e-06,17,2.125e+06,0.2,1,1
4_3_55,6e-05,121,2.01667e+06,0.2,2,2
6_2_1,7e-06,9,1.28571e+06,0.333333,1,3
2_2_45,3e-06,5,1.66667e+06,0.333333,1,1
5_3_0,0.000134,215,1.60448e+06,0.2,4,4
2_2_53,3e-06,5,1.66667e+06,0.333333,1,1
3_3_25,2.8e-05,61,2.17857e+06,0.2,0,2
4_3_79,7.6e-05,135,1.77632e+06,0.2,3,1
4_5_24,0.024169,47737,1.97513e+06,0.111111,2,3
5_3_60,0.000128,203,1.58594e+06,0.2,3,1
3_5_69,0.001288,3291,2.55512e+06,0.111111,2,1
2_2_50,2e-06,3,1.5e+06,0.333333,1,0
5_3_51,0.000127,203,1.59843e+06,0.2,4,1
4_2_32,6e-06,8,1.33333e+06,0.333333,0,3
3_3_48,2.7e-05,59,2.18519e+06,0.2,1,2
6_2_89,1.1e-05,13,1.18182e+06,0.333333,4,2
4_2_96,6e-06,8,1.33333e+06,0.333333,0,3
2_2_86,2e-06,3,1.5e+06,0.333333,0,0
3_5_78,0.001242,3257,2.62238e+06,0.111111,2,1
4_2_25,6e-06,9,1.5e+06,0.333333,2,2
5_4_71,0.005222,8178,1.56607e+06,0.142857,4,4
4_4_16,0.001072,2171,2.02519e+06,0.142857,3,1
3_2_86,6e-06,7,1.16667e+06,0.333333,2,2
2_3_17,8e-06,18,2.25e+06,0.2,1,1
6_3_12,0.000204,297,1.45588e+06,0.2,5,5
6_2_65,1e-05,13,1.3e+06,0.333333,3,2
4_3_33,6.5e-05,125,1.92308e+06,0.2,0,2
6_2_57,9e-06,11,1.22222e+06,0.333333,1,2
2_3_9,8e-06,17,2.125e+06,0.2,0,0
4_4_53,0.001595,3306,2.07273e+06,0.142857,3,1
5_3_12,0.000135,215,1.59259e+06,0.2,3,1
2_3_99,1e-05,17,1.7e+06,0.2,0,0
5_3_91,0.000124,199,1.60484e+06,0.2,2,2
2_2_30,2e-06,3,1.5e+06,0.333333,1,0
5_2_17,8e-06,10,1.25e+06,0.333333,2,2
4_3_44,6.2e-05,129,2.08065e+06,0.2,2,2
3_3_0,2.4e-05,55,2.29167e+06,0.2,2,2
3_3_73,2.4e-05,55,2.29167e+06,0.2,2,2
5_2_10,8e-06,11,1.375e+06,0.333333,2,2
5_2_55,8e-06,10,1.25e+06,0.333333,4,2
4_3_97,5.9e-05,119,2.01695e+06,0.2,2,2
3_3_75,3.7e-05,55,1.48649e+06,0.2,2,2
4_5_3,0.024529,47747,1.94655e+06,0.111111,2,1
6_3_22,0.000201,274,1.36318e+06,0.2,1,2
2_3_11,9e-06,18,2e+06,0.2,0,0
5_4_69,0.021633,31774,1.46877e+06,0.142857,2,2
4_5_23,0.023341,47664,2.04207e+06,0.111111,1,1
4_5_88,0.016309,28747,1.76265e+06,0.111111,1,1
5_3_10,0.000125,205,1.64e+06,0.2,0,2
3_3_80,2.6e-05,60,2.30769e+06,0.2,0,2
3_2_59,6e-06,7,1.16667e+06,0.333333,2,2
4_4_17,0.001216,2396,1.97039e+06,0.142857,1,1
4_5_71,0.022843,47711,2.08865e+06,0.111111,1,1
2_3_43,8e-06,17,2.125e+06,0.2,0,0
5_2_35,7e-06,9,1.28571e+06,0.333333,4,3
4_4_95,0.000482,1055,2.1888e+06,0.142857,3,1
3_3_92,2.7e-05,60,2.22222e+06,0.2,0,2
3_5_95,0.001204,3268,2.71429e+06,0.111111,2,1
3_2_64,5e-06,6,1.2e+06,0.333333,0,0
4_2_81,6e-06,9,1.5e+06,0.333333,3,2
3_4_6,0.000175,456,2.60571e+06,0.142857,2,1
3_2_26,4e-06,4,1e+06,0.333333,1,0
3_2_90,5e-06,6,1.2e+06,0.333333,2,0
6_3_27,0.000188,287,1.5266e+06,0.2,1,2
6_2_95,9e-06,12,1.33333e+06,0.333333,0,3
6_2_23,9e-06,12,1.33333e+06,0.333333,4,2
4_5_65,0.022928,47761,2.08309e+06,0.111111,2,1
5_3_59,0.00012,201,1.675e+06,0.2,2,2
6_2_50,9e-06,11,1.22222e+06,0.333333,3,3
3_5_33,0.001287,3295,2.56022e+06,0.111111,2,1
5_4_2,0.013769,24793,1.80064e+06,0.142857,4,1
4_2_66,3e-06,5,1.66667e+06,0.333333,3,0
4_3_47,5.7e-05,119,2.08772e+06,0.2,1,2
3_5_57,0.001202,3268,2.7188e+06,0.111111,2,1
3_5_32,0.001215,3272,2.693e+06,0.111111,2,1
6_3_25,0.000193,292,1.51295e+06,0.2,0,2
5_3_13,0.000129,207,1.60465e+06,0.2,3,1
4_3_95,7.4e-05,135,1.82432e+06,0.2,3,1
5_3_84,0.000128,207,1.61719e+06,0.2,4,1
2_3_95,8e-06,18,2.25e+06,0.2,0,0
3_4_38,0.00017,448,2.63529e+06,0.142857,2,1
3_5_77,0.001219,3270,2.68253e+06,0.111111,2,1
4_3_43,7.3e-05,135,1.84932e+06,0.2,2,1
4_4_43,0.000693,1493,2.1544e+06,0.142857,3,1
5_3_56,7.4e-05,131,1.77027e+06,0.2,2,2
4_5_69,0.025549,51651,2.02164e+06,0.111111,1,1
6_2_26,1e-05,13,1.3e+06,0.333333,3,2
4_4_11,0.00073,1492,2.04384e+06,0.142857,3,1
6_2_3,1.2e-05,12,1e+06,0.333333,3,2
6_2_45,1.1e-05,13,1.18182e+06,0.333333,5,2
3_3_14,2.3e-05,56,2.43478e+06,0.2,1,2
3_4_97,0.000175,456,2.60571e+06,0.142857,2,1
2_2_77,2e-06,3,1.5e+06,0.333333,1,0
3_5_51,0.001232,3288,2.66883e+06,0.111111,2,1
5_4_79,0.016336,27739,1.69803e+06,0.142857,2,1
4_2_76,6e-06,8,1.33333e+06,0.333333,3,2
6_3_55,0.00017,270,1.58824e+06,0.2,5,2
4_5_87,0.017331,36748,2.12036e+06,0.111111,2,1
6_3_89,0.000185,282,1.52432e+06,0.2,2,2
4_5_59,0.017238,36769,2.13302e+06,0.111111,3,1
4_3_50,6.3e-05,125,1.98413e+06,0.2,1,2
3_5_52,0.001222,3295,2.6964e+06,0.111111,2,1
6_3_85,0.000181,283,1.56354e+06,0.2,5,2
4_4_10,0.000649,1307,2.01387e+06,0.142857,1,1
3_5_93,0.001224,3295,2.69199e+06,0.111111,2,1
2_2_39,2e-06,3,1.5e+06,0.333333,0,0
4_5_38,0.02539,51620,2.03308e+06,0.111111,1,1
3_4_82,0.000175,456,2.60571e+06,0.142857,2,1
5_3_49,0.000124,205,1.65323e+06,0.2,4,1
5_4_0,0.00801,13529,1.68901e+06,0.142857,3,1
4_3_78,5.7e-05,120,2.10526e+06,0.2,3,2
6_3_59,0.00013,209,1.60769e+06,0.2,2,2
5_4_99,0.011308,19533,1.72736e+06,0.142857,4,1
5_2_85,7e-06,10,1.42857e+06,0.333333,0,3
3_3_1,2.3e-05,56,2.43478e+06,0.2,1,2
5_2_61,8e-06,11,1.375e+06,0.333333,3,2
5_4_70,0.013849,24794,1.79031e+06,0.142857,4,1
3_2_95,6e-06,7,1.16667e+06,0.333333,2,2
5_2_73,9e-06,11,1.22222e+06,0.333333,2,2
3_3_39,2.4e-05,56,2.33333e+06,0.2,2,2
4_2_68,6e-06,8,1.33333e+06,0.333333,0,3
3_3_20,3.5e-05,75,2.14286e+06,0.2,2,1
2_2_91,3e-06,5,1.66667e+06,0.333333,0,0
6_3_43,0.00021,307,1.4619e+06,0.2,3,1
2_3_70,7e-06,17,2.42857e+06,0.2,0,0
4_5_55,0.017442,36814,2.11065e+06,0.111111,3,1
5_2_71,6e-06,8,1.33333e+06,0.333333,4,3
4_5_31,0.009917,21416,2.15952e+06,0.111111,2,1
5_4_38,0.011842,19531,1.6493e+06,0.142857,3,1
3_2_6,8e-06,7,875000,0.333333,2,2
3_3_22,4.7e-05,60,1.2766e+06,0.2,0,2
5_2_48,1e-05,10,1e+06,0.333333,0,3
3_3_9,3.7e-05,59,1.59459e+06,0.2,1,2
4_4_99,0.000836,1323,1.58254e+06,0.142857,0,2
5_4_45,0.006789,7962,1.17278e+06,0.142857,2,2
5_3_53,0.000165,197,1.19394e+06,0.2,3,2
3_2_73,8e-06,6,750000,0.333333,2,0
3_4_90,0.000109,218,2e+06,0.142857,1,2
2_3_85,1.1e-05,17,1.54545e+06,0.2,0,0
4_3_86,8.8e-05,124,1.40909e+06,0.2,1,2
4_3_14,4.3e-05,66,1.53488e+06,0.2,3,2
5_3_18,0.000166,198,1.19277e+06,0.2,1,2
2_2_23,3e-06,3,1e+06,0.333333,0,0
6_3_79,0.000261,277,1.0613e+06,0.2,1,2
6_3_82,0.000281,297,1.05694e+06,0.2,4,2
6_2_14,1.3e-05,12,923077,0.333333,4,2
3_4_72,0.000244,449,1.84016e+06,0.142857,2,1
6_3_75,0.000263,283,1.07605e+06,0.2,0,2
4_4_14,0.001078,1553,1.44063e+06,0.142857,3,1
4_4_56,0.000829,1322,1.59469e+06,0.142857,1,2
5_4_44,0.022956,27741,1.20844e+06,0.142857,2,1
4_2_62,7e-06,8,1.14286e+06,0.333333,0,3
2_3_90,9e-06,17,1.88889e+06,0.2,0,0
3_4_59,0.000205,448,2.18537e+06,0.142857,2,1
3_4_63,0.000196,434,2.21429e+06,0.142857,0,2
5_4_11,0.003906,5838,1.49462e+06,0.142857,0,2
2_3_6,9e-06,17,1.88889e+06,0.2,0,0
3_2_30,7e-06,6,857143,0.333333,0,0
4_5_37,0.021158,36786,1.73863e+06,0.111111,1,1
5_2_46,1e-05,11,1.1e+06,0.333333,3,2
3_2_81,5e-06,4,800000,0.333333,0,0
4_5_73,0.030134,51683,1.71511e+06,0.111111,1,1
2_2_58,2e-06,3,1.5e+06,0.333333,1,0
3_2_85,5e-06,6,1.2e+06,0.333333,1,0
6_2_79,1e-05,13,1.3e+06,0.333333,4,2
6_3_58,0.000176,271,1.53977e+06,0.2,4,1
6_2_64,1e-05,13,1.3e+06,0.333333,5,2
3_5_88,0.001211,3270,2.70025e+06,0.111111,2,1
6_2_81,1e-05,13,1.3e+06,0.333333,5,2
4_4_31,0.00129,2453,1.90155e+06,0.142857,2,1
5_3_24,0.000119,199,1.67227e+06,0.2,0,2
6_2_15,1e-05,12,1.2e+06,0.333333,3,2
2_3_94,8e-06,18,2.25e+06,0.2,0,0
3_5_66,0.001222,3288,2.69067e+06,0.111111,2,1
3_3_83,3.6e-05,75,2.08333e+06,0.2,2,1
