index, time, unrolled, speed, value, x, y
6_2_57,1e-05,13,1.3e+06,0.333333,5,4
3_1_23,3e-06,1,333333,0,0,2
5_3_12,0.000132,213,1.61364e+06,0.2,1,3
5_3_91,0.000143,213,1.48951e+06,0.2,0,3
2_1_38,2e-06,1,500000,0,1,1
6_5_29,0.474679,456407,961507,0.111111,2,5
5_2_17,9e-06,11,1.22222e+06,0.333333,3,4
4_3_44,7.3e-05,135,1.84932e+06,0.2,0,3
3_1_44,3e-06,1,333333,0,0,2
4_1_32,2e-06,1,500000,0,2,3
5_2_10,8e-06,11,1.375e+06,0.333333,4,4
5_2_55,8e-06,11,1.375e+06,0.333333,4,4
4_3_97,7.5e-05,135,1.8e+06,0.2,0,3
6_1_45,2e-06,1,500000,0,5,4
6_5_7,0.473461,456407,963980,0.111111,1,5
5_1_63,2e-06,1,500000,0,3,3
2_1_13,1e-06,1,1e+06,0,0,0
6_3_22,0.000212,309,1.45755e+06,0.2,2,1
5_4_69,0.00393,5567,1.41654e+06,0.142857,1,3
5_3_10,0.000134,213,1.58955e+06,0.2,1,2
4_1_40,2e-06,1,500000,0,3,3
3_2_59,6e-06,7,1.16667e+06,0.333333,2,1
5_2_35,8e-06,11,1.375e+06,0.333333,3,3
6_5_54,0.472609,456407,965718,0.111111,5,1
3_1_3,3e-06,1,333333,0,2,0
3_2_64,6e-06,7,1.16667e+06,0.333333,2,1
3_1_53,3e-06,1,333333,0,1,0
4_2_81,6e-06,9,1.5e+06,0.333333,3,3
3_2_26,6e-06,7,1.16667e+06,0.333333,2,1
2_1_50,2e-06,1,500000,0,0,0
2_1_31,2e-06,1,500000,0,1,0
3_2_90,6e-06,7,1.16667e+06,0.333333,2,1
6_1_17,2e-06,1,500000,0,0,3
6_3_27,0.000212,309,1.45755e+06,0.2,0,1
6_2_95,1e-05,13,1.3e+06,0.333333,5,3
6_2_23,1e-05,13,1.3e+06,0.333333,4,3
4_1_26,2e-06,1,500000,0,1,3
6_1_60,2e-06,1,500000,0,0,3
4_1_34,2e-06,1,500000,0,2,3
6_4_44,0.008837,10231,1.15775e+06,0.142857,1,0
5_3_59,0.000132,213,1.61364e+06,0.2,2,2
6_4_97,0.008688,10231,1.1776e+06,0.142857,1,0
6_2_50,1e-05,13,1.3e+06,0.333333,5,3
6_1_62,2e-06,1,500000,0,5,3
4_1_7,2e-06,1,500000,0,0,3
5_4_2,0.003937,5567,1.41402e+06,0.142857,1,3
4_2_66,6e-06,9,1.5e+06,0.333333,2,3
4_3_47,7.5e-05,135,1.8e+06,0.2,1,2
2_1_48,1e-06,1,1e+06,0,0,0
3_1_69,3e-06,1,333333,0,1,0
6_3_25,0.00021,309,1.47143e+06,0.2,0,1
4_1_42,2e-06,1,500000,0,1,3
6_5_18,0.472864,456407,965197,0.111111,5,1
5_3_13,0.000132,213,1.61364e+06,0.2,3,4
4_3_95,7.4e-05,135,1.82432e+06,0.2,0,2
6_4_13,0.008703,10231,1.17557e+06,0.142857,1,4
5_3_84,0.00013,213,1.63846e+06,0.2,4,4
6_4_39,0.008711,10231,1.17449e+06,0.142857,0,4
6_5_23,0.472839,456407,965248,0.111111,2,1
4_3_43,7.4e-05,135,1.82432e+06,0.2,0,2
5_1_16,2e-06,1,500000,0,3,0
4_1_39,2e-06,1,500000,0,0,0
5_3_56,0.000132,213,1.61364e+06,0.2,4,4
6_2_26,1e-05,13,1.3e+06,0.333333,0,3
6_2_3,1e-05,13,1.3e+06,0.333333,0,3
6_2_45,1e-05,13,1.3e+06,0.333333,0,3
6_4_72,0.008702,10231,1.17571e+06,0.142857,0,4
4_1_24,2e-06,1,500000,0,3,0
6_5_64,0.471805,456407,967364,0.111111,3,1
5_4_79,0.003944,5567,1.41151e+06,0.142857,2,4
4_2_76,6e-06,9,1.5e+06,0.333333,0,0
6_1_6,2e-06,1,500000,0,5,0
6_3_55,0.000213,309,1.4507e+06,0.2,0,1
4_1_8,2e-06,1,500000,0,1,0
6_3_89,0.000212,309,1.45755e+06,0.2,0,1
4_3_50,7.4e-05,135,1.82432e+06,0.2,0,0
6_3_85,0.000213,309,1.4507e+06,0.2,1,1
6_4_11,0.008708,10231,1.1749e+06,0.142857,5,2
2_1_71,1e-06,1,1e+06,0,0,0
6_4_3,0.008698,10231,1.17625e+06,0.142857,5,2
6_5_95,0.472615,456407,965706,0.111111,0,5
5_3_49,0.000133,213,1.6015e+06,0.2,2,4
5_4_0,0.003947,5567,1.41044e+06,0.142857,1,4
4_3_78,7.4e-05,135,1.82432e+06,0.2,0,0
6_3_59,0.000213,309,1.4507e+06,0.2,0,1
5_4_99,0.003933,5567,1.41546e+06,0.142857,1,4
5_2_85,8e-06,11,1.375e+06,0.333333,3,0
3_1_11,3e-06,1,333333,0,2,0
5_1_39,2e-06,1,500000,0,3,0
5_2_61,9e-06,11,1.22222e+06,0.333333,1,0
4_1_81,2e-06,1,500000,0,3,0
5_1_59,2e-06,1,500000,0,0,0
5_4_70,0.003926,5567,1.41798e+06,0.142857,2,4
3_2_95,7e-06,7,1e+06,0.333333,0,0
5_2_73,9e-06,11,1.22222e+06,0.333333,1,0
