index, time, unrolled, speed, value, x, y
6_3_58,0.000208,309,1.48558e+06,-0.2,5,0
2_1_75,2e-06,1,500000,0,0,0
6_2_64,1e-05,13,1.3e+06,-0.333333,2,3
2_1_45,2e-06,1,500000,0,1,0
6_2_81,1.1e-05,13,1.18182e+06,-0.333333,5,3
5_3_24,0.000139,213,1.53237e+06,-0.2,4,4
6_2_15,1.1e-05,13,1.18182e+06,-0.333333,3,3
6_1_69,3e-06,1,333333,0,5,0
5_1_72,2e-06,1,500000,0,2,0
5_4_43,0.004046,5567,1.37593e+06,-0.142857,1,0
6_4_10,0.008781,10231,1.16513e+06,-0.142857,0,1
5_2_94,9e-06,11,1.22222e+06,-0.333333,4,3
6_5_41,0.463809,456407,984041,-0.111111,0,3
5_2_57,8e-06,11,1.375e+06,-0.333333,1,3
3_2_14,6e-06,7,1.16667e+06,-0.333333,0,0
5_1_94,2e-06,1,500000,0,3,0
3_2_71,6e-06,7,1.16667e+06,-0.333333,1,0
6_3_91,0.000209,309,1.47847e+06,-0.2,4,0
5_4_22,0.003802,5567,1.46423e+06,-0.142857,1,0
4_2_5,6e-06,9,1.5e+06,-0.333333,3,3
6_1_23,2e-06,1,500000,0,2,0
4_1_19,2e-06,1,500000,0,0,0
5_4_98,0.003843,5567,1.44861e+06,-0.142857,1,0
3_1_76,3e-06,1,333333,0,1,0
5_3_90,0.000131,213,1.62595e+06,-0.2,4,4
6_3_71,0.00022,309,1.40455e+06,-0.2,3,0
6_4_23,0.008468,10231,1.2082e+06,-0.142857,0,1
3_2_38,6e-06,7,1.16667e+06,-0.333333,0,0
2_1_58,5e-06,1,200000,0,0,0
4_1_79,2e-06,1,500000,0,3,0
4_2_26,6e-06,9,1.5e+06,-0.333333,3,3
3_2_68,6e-06,7,1.16667e+06,-0.333333,0,0
5_2_69,8e-06,11,1.375e+06,-0.333333,4,3
6_4_73,0.008468,10231,1.2082e+06,-0.142857,2,1
3_2_22,6e-06,7,1.16667e+06,-0.333333,0,0
6_1_76,3e-06,1,333333,0,3,0
6_5_53,0.46872,456407,973731,-0.111111,0,3
5_3_39,0.000129,213,1.65116e+06,-0.2,4,1
5_4_77,0.003896,5567,1.4289e+06,-0.142857,2,2
3_2_57,6e-06,7,1.16667e+06,-0.333333,2,2
6_5_63,0.496515,456407,919221,-0.111111,1,3
4_2_10,1.2e-05,9,750000,-0.333333,1,2
5_4_97,0.003853,5567,1.44485e+06,-0.142857,1,2
5_1_66,2e-06,1,500000,0,4,1
4_1_74,2e-06,1,500000,0,2,1
4_2_42,7e-06,9,1.28571e+06,-0.333333,3,2
6_1_65,2e-06,1,500000,0,5,5
2_1_57,2e-06,1,500000,0,0,1
6_1_34,2e-06,1,500000,0,4,5
6_5_94,0.506004,456407,901983,-0.111111,2,3
3_1_7,4e-06,1,250000,0,2,2
4_2_37,7e-06,9,1.28571e+06,-0.333333,3,1
5_2_19,8e-06,11,1.375e+06,-0.333333,4,1
4_2_84,7e-06,9,1.28571e+06,-0.333333,3,1
2_1_49,2e-06,1,500000,0,1,0
5_4_65,0.00385,5567,1.44597e+06,-0.142857,1,1
6_3_97,0.00021,309,1.47143e+06,-0.2,4,1
6_5_22,0.463451,456407,984801,-0.111111,4,0
6_4_82,0.008667,10231,1.18045e+06,-0.142857,1,0
3_2_48,6e-06,7,1.16667e+06,-0.333333,2,1
6_1_42,2e-06,1,500000,0,1,3
4_1_54,2e-06,1,500000,0,2,3
6_2_72,1e-05,13,1.3e+06,-0.333333,5,1
5_4_88,0.003847,5567,1.4471e+06,-0.142857,2,1
6_1_81,3e-06,1,333333,0,4,3
4_3_89,7.3e-05,135,1.84932e+06,-0.2,0,1
6_2_92,1.1e-05,13,1.18182e+06,-0.333333,5,1
5_2_31,8e-06,11,1.375e+06,-0.333333,4,1
3_2_63,6e-06,7,1.16667e+06,-0.333333,2,1
5_3_77,0.000131,213,1.62595e+06,-0.2,0,1
5_1_2,2e-06,1,500000,0,2,3
6_3_54,0.000209,309,1.47847e+06,-0.2,4,1
3_1_95,3e-06,1,333333,0,2,2
5_4_42,0.004303,5567,1.29375e+06,-0.142857,1,1
5_1_17,3e-06,1,333333,0,1,3
2_1_89,2e-06,1,500000,0,0,0
3_1_12,3e-06,1,333333,0,2,2
5_3_82,0.000149,213,1.42953e+06,-0.2,0,1
5_4_10,0.004344,5567,1.28154e+06,-0.142857,1,1
3_1_96,4e-06,1,250000,0,2,2
2_1_27,2e-06,1,500000,0,0,0
6_1_46,3e-06,1,333333,0,4,3
6_3_13,0.000246,309,1.2561e+06,-0.2,4,1
4_1_76,3e-06,1,333333,0,0,3
6_2_33,1.7e-05,13,764706,-0.333333,4,1
3_2_39,1.7e-05,7,411765,-0.333333,2,1
6_2_91,1.9e-05,13,684211,-0.333333,2,1
6_2_66,1.5e-05,13,866667,-0.333333,3,1
2_1_56,2e-06,1,500000,0,1,0
6_1_91,7e-06,1,142857,0,5,3
4_1_73,3e-06,1,333333,0,3,3
6_2_18,1.5e-05,13,866667,-0.333333,2,1
6_1_73,3e-06,1,333333,0,5,3
6_1_87,3e-06,1,333333,0,4,3
6_2_37,1.5e-05,13,866667,-0.333333,4,1
4_3_1,0.000104,135,1.29808e+06,-0.2,0,1
6_5_39,0.52428,456407,870541,-0.111111,4,0
4_2_14,7e-06,9,1.28571e+06,-0.333333,1,2
4_1_6,2e-06,1,500000,0,1,1
4_1_84,2e-06,1,500000,0,0,1
4_1_80,2e-06,1,500000,0,0,1
5_2_56,9e-06,11,1.22222e+06,-0.333333,1,2
6_3_81,0.000224,309,1.37946e+06,-0.2,1,4
6_5_93,0.664487,456407,686856,-0.111111,4,1
4_2_70,2.9e-05,9,310345,-0.333333,3,2
5_1_50,7e-06,1,142857,0,3,0
6_2_43,1.6e-05,13,812500,-0.333333,3,2
4_3_72,0.000157,135,859873,-0.2,3,1
6_5_57,0.68315,456407,668092,-0.111111,2,4
5_1_93,2e-06,1,500000,0,3,0
5_4_67,0.003928,5567,1.41726e+06,-0.142857,1,0
4_3_58,7.6e-05,135,1.77632e+06,-0.2,3,1
5_2_28,9e-06,11,1.22222e+06,-0.333333,3,2
4_3_76,7.5e-05,135,1.8e+06,-0.2,3,1
2_1_19,2e-06,1,500000,0,1,0
2_1_52,2e-06,1,500000,0,1,0
6_1_71,2e-06,1,500000,0,3,5
4_1_90,2e-06,1,500000,0,3,0
5_2_70,9e-06,11,1.22222e+06,-0.333333,4,2
5_1_37,2e-06,1,500000,0,2,0
4_1_47,2e-06,1,500000,0,2,0
4_3_12,7.5e-05,135,1.8e+06,-0.2,3,1
6_2_83,1.2e-05,13,1.08333e+06,-0.333333,5,2
3_2_28,6e-06,7,1.16667e+06,-0.333333,2,2
6_4_90,0.008781,10231,1.16513e+06,-0.142857,4,2
5_3_21,0.000149,213,1.42953e+06,-0.2,2,4
5_3_61,0.000139,213,1.53237e+06,-0.2,1,4
2_1_67,2e-06,1,500000,0,1,0
5_1_24,2e-06,1,500000,0,3,0
6_3_48,0.00023,309,1.34348e+06,-0.2,1,5
6_3_38,0.00023,309,1.34348e+06,-0.2,1,5
2_1_84,2e-06,1,500000,0,1,0
6_5_45,0.472565,456407,965808,-0.111111,2,4
4_1_14,3e-06,1,333333,0,3,0
4_3_52,8.3e-05,135,1.62651e+06,-0.2,2,1
3_1_21,4e-06,1,250000,0,0,0
4_2_50,1.5e-05,9,600000,-0.333333,2,2
6_5_51,0.609972,456407,748243,-0.111111,1,3
6_2_75,1.8e-05,13,722222,-0.333333,4,1
6_2_41,3e-05,13,433333,-0.333333,3,1
5_4_16,0.007056,5567,788974,-0.142857,4,1
5_3_97,0.000258,213,825581,-0.2,0,1
3_1_54,1.7e-05,1,58823.5,0,1,0
6_2_19,2.5e-05,13,520000,-0.333333,5,1
6_1_68,6e-06,1,166667,0,1,3
6_2_97,3.8e-05,13,342105,-0.333333,5,1
5_1_13,5e-06,1,200000,0,0,3
5_1_60,6e-06,1,166667,0,2,3
6_5_16,0.783438,456407,582569,-0.111111,4,5
4_2_88,1.5e-05,9,600000,-0.333333,3,1
4_1_92,6e-06,1,166667,0,0,3
3_2_49,1.3e-05,7,538462,-0.333333,2,1
5_1_68,3e-06,1,333333,0,0,3
5_3_11,0.000164,213,1.29878e+06,-0.2,2,1
6_2_78,1.7e-05,13,764706,-0.333333,1,1
6_1_50,4e-06,1,250000,0,1,3
3_2_12,8e-06,7,875000,-0.333333,2,1
5_4_58,0.004666,5567,1.1931e+06,-0.142857,4,1
5_3_73,0.000172,213,1.23837e+06,-0.2,0,1
6_3_7,0.000243,309,1.2716e+06,-0.2,0,3
6_4_74,0.009989,10231,1.02423e+06,-0.142857,1,2
5_1_51,2e-06,1,500000,0,3,3
4_2_85,7e-06,9,1.28571e+06,-0.333333,2,1
6_5_88,0.468387,456407,974423,-0.111111,5,5
6_1_54,2e-06,1,500000,0,1,3
5_4_30,0.003826,5567,1.45504e+06,-0.142857,0,4
5_4_26,0.003833,5567,1.45239e+06,-0.142857,0,4
5_2_36,9e-06,11,1.22222e+06,-0.333333,3,1
6_3_5,0.00021,309,1.47143e+06,-0.2,2,0
2_1_24,2e-06,1,500000,0,0,1
6_2_62,1e-05,13,1.3e+06,-0.333333,5,1
6_4_2,0.008472,10231,1.20763e+06,-0.142857,4,5
2_1_96,2e-06,1,500000,0,1,1
4_1_88,2e-06,1,500000,0,3,3
6_4_66,0.008509,10231,1.20237e+06,-0.142857,5,5
4_3_73,7.4e-05,135,1.82432e+06,-0.2,0,1
6_2_51,1e-05,13,1.3e+06,-0.333333,5,1
2_1_88,2e-06,1,500000,0,0,1
6_1_90,2e-06,1,500000,0,4,3
5_2_29,9e-06,11,1.22222e+06,-0.333333,3,1
5_1_85,2e-06,1,500000,0,2,3
6_3_1,0.000208,309,1.48558e+06,-0.2,4,0
4_3_21,7.4e-05,135,1.82432e+06,-0.2,0,1
5_2_98,8e-06,11,1.375e+06,-0.333333,2,1
5_4_90,0.003816,5567,1.45886e+06,-0.142857,0,4
4_3_25,7.3e-05,135,1.84932e+06,-0.2,1,1
3_2_19,7e-06,7,1e+06,-0.333333,2,1
4_3_46,7.4e-05,135,1.82432e+06,-0.2,0,1
5_3_98,0.000131,213,1.62595e+06,-0.2,0,1
2_1_37,1e-06,1,1e+06,0,1,1
5_1_73,2e-06,1,500000,0,1,3
5_2_15,1.7e-05,11,647059,-0.333333,4,1
3_1_39,3e-06,1,333333,0,0,1
4_3_84,7.4e-05,135,1.82432e+06,-0.2,0,1
5_3_35,0.000131,213,1.62595e+06,-0.2,1,1
6_4_17,0.008481,10231,1.20634e+06,-0.142857,5,5
4_3_71,7.3e-05,135,1.84932e+06,-0.2,0,1
5_1_89,2e-06,1,500000,0,4,3
4_2_63,6e-06,9,1.5e+06,-0.333333,3,1
4_1_96,2e-06,1,500000,0,3,3
5_1_1,2e-06,1,500000,0,1,3
6_3_6,0.000209,309,1.47847e+06,-0.2,3,0
6_5_79,0.460417,456407,991291,-0.111111,1,1
4_3_3,7.4e-05,135,1.82432e+06,-0.2,0,1
5_2_44,8e-06,11,1.375e+06,-0.333333,4,1
5_3_22,0.000131,213,1.62595e+06,-0.2,0,1
