index, time, unrolled, speed, value, x, y
5_3_13,0.000292,207,708904,-0.2,3,1
4_3_95,0.000112,135,1.20536e+06,-0.2,3,1
5_3_84,0.000187,207,1.10695e+06,-0.2,4,1
2_3_95,1.2e-05,17,1.41667e+06,-0.2,0,1
3_4_38,0.000248,446,1.79839e+06,-0.142857,2,1
3_5_77,0.001777,3252,1.83005e+06,-0.111111,2,1
4_3_43,0.000107,135,1.26168e+06,-0.2,2,1
4_4_43,0.001092,1492,1.3663e+06,-0.142857,3,1
5_3_56,0.000114,133,1.16667e+06,-0.2,2,2
4_5_69,0.04267,51644,1.21031e+06,-0.111111,1,1
6_2_26,2e-05,13,650000,-0.333333,3,2
4_4_11,0.001037,1492,1.43877e+06,-0.142857,3,1
6_2_3,1.4e-05,12,857143,-0.333333,3,2
6_2_45,1.5e-05,13,866667,-0.333333,5,2
3_3_14,3.5e-05,56,1.6e+06,-0.2,1,2
3_4_97,0.000252,452,1.79365e+06,-0.142857,2,1
2_2_77,4e-06,3,750000,-0.333333,0,1
3_5_51,0.001947,3303,1.69646e+06,-0.111111,2,1
5_4_79,0.025651,27740,1.08144e+06,-0.142857,2,1
4_2_76,1.5e-05,8,533333,-0.333333,3,2
6_3_55,0.000256,270,1.05469e+06,-0.2,5,2
4_5_87,0.036722,36737,1.00041e+06,-0.111111,2,1
6_3_89,0.000413,282,682809,-0.2,2,2
4_5_59,0.045965,36727,799021,-0.111111,3,1
4_3_50,0.000204,125,612745,-0.2,1,2
3_5_52,0.004232,3280,775047,-0.111111,2,1
6_3_85,0.000448,281,627232,-0.2,5,2
4_4_10,0.004116,3311,804422,-0.142857,1,1
3_5_93,0.003201,3280,1.02468e+06,-0.111111,2,1
2_2_39,1.3e-05,3,230769,-0.333333,1,1
4_5_38,0.054605,51712,947020,-0.111111,1,1
3_4_82,0.000245,452,1.8449e+06,-0.142857,2,1
5_3_49,0.000175,207,1.18286e+06,-0.2,4,1
5_4_0,0.023868,26439,1.10772e+06,-0.142857,3,1
4_3_78,8.2e-05,120,1.46341e+06,-0.2,3,2
6_3_59,0.000178,207,1.16292e+06,-0.2,2,2
5_4_99,0.016296,19534,1.1987e+06,-0.142857,4,1
5_2_85,1.1e-05,10,909091,-0.333333,0,3
3_3_1,3.3e-05,56,1.69697e+06,-0.2,1,2
5_2_61,1.2e-05,11,916667,-0.333333,3,2
5_4_70,0.018126,24795,1.36792e+06,-0.142857,4,1
3_2_95,7e-06,7,1e+06,-0.333333,2,2
5_2_73,1e-05,11,1.1e+06,-0.333333,2,2
3_3_39,2.8e-05,56,2e+06,-0.2,2,2
4_2_68,7e-06,8,1.14286e+06,-0.333333,0,3
3_3_20,4.8e-05,75,1.5625e+06,-0.2,2,1
2_2_91,5e-06,5,1e+06,-0.333333,0,1
6_3_43,0.000262,307,1.17176e+06,-0.2,3,1
2_3_70,1e-05,18,1.8e+06,-0.2,0,1
4_5_55,0.020889,36774,1.76045e+06,-0.111111,3,1
5_2_71,7e-06,8,1.14286e+06,-0.333333,4,3
4_5_31,0.011514,21411,1.85956e+06,-0.111111,2,1
5_4_38,0.012999,19531,1.5025e+06,-0.142857,3,1
3_2_6,7e-06,7,1e+06,-0.333333,2,2
3_3_22,3.2e-05,60,1.875e+06,-0.2,0,2
5_2_48,9e-06,10,1.11111e+06,-0.333333,0,3
3_3_9,3.1e-05,61,1.96774e+06,-0.2,1,2
4_4_99,0.000691,1324,1.91606e+06,-0.142857,0,2
5_4_45,0.014573,21356,1.46545e+06,-0.142857,2,2
5_3_53,0.000135,197,1.45926e+06,-0.2,3,2
3_2_73,7e-06,6,857143,-0.333333,1,2
3_4_90,9e-05,218,2.42222e+06,-0.142857,1,2
2_3_85,1e-05,18,1.8e+06,-0.2,0,1
4_3_86,7.3e-05,124,1.69863e+06,-0.2,1,2
4_3_14,3.5e-05,66,1.88571e+06,-0.2,3,2
5_3_18,0.000136,198,1.45588e+06,-0.2,1,2
2_2_23,3e-06,3,1e+06,-0.333333,1,1
6_3_79,0.000204,275,1.34804e+06,-0.2,1,2
6_3_82,0.00023,297,1.2913e+06,-0.2,3,2
6_2_14,1.1e-05,12,1.09091e+06,-0.333333,4,2
3_4_72,0.000199,448,2.25126e+06,-0.142857,2,1
6_3_75,0.000213,281,1.31925e+06,-0.2,0,2
4_4_14,0.001348,2436,1.80712e+06,-0.142857,3,1
4_4_56,0.000686,1323,1.92857e+06,-0.142857,1,2
5_4_44,0.019104,27733,1.45169e+06,-0.142857,2,1
4_2_62,7e-06,8,1.14286e+06,-0.333333,0,3
2_3_90,1e-05,18,1.8e+06,-0.2,0,1
3_4_59,0.000196,446,2.27551e+06,-0.142857,2,1
3_4_63,0.000191,440,2.30366e+06,-0.142857,0,2
5_4_11,0.003576,5462,1.5274e+06,-0.142857,0,2
2_3_6,1e-05,18,1.8e+06,-0.2,0,1
3_2_30,6e-06,6,1e+06,-0.333333,1,2
4_5_37,0.021116,36742,1.74001e+06,-0.111111,1,1
5_2_46,1e-05,11,1.1e+06,-0.333333,4,3
3_2_81,5e-06,4,800000,-0.333333,1,2
4_5_73,0.029608,51603,1.74287e+06,-0.111111,3,1
2_2_58,3e-06,3,1e+06,-0.333333,1,0
3_2_85,7e-06,6,857143,-0.333333,0,1
6_2_79,1.2e-05,13,1.08333e+06,-0.333333,4,3
6_3_58,0.000193,263,1.36269e+06,-0.2,3,2
6_2_64,1.3e-05,13,1e+06,-0.333333,4,3
3_5_88,0.001355,3285,2.42435e+06,-0.111111,1,2
6_2_81,1.2e-05,13,1.08333e+06,-0.333333,4,3
4_4_31,0.001486,2457,1.65343e+06,-0.142857,0,2
5_3_24,0.000136,199,1.46324e+06,-0.2,3,2
6_2_15,1.2e-05,12,1e+06,-0.333333,2,3
2_3_94,9e-06,17,1.88889e+06,-0.2,0,1
3_5_66,0.00142,3308,2.32958e+06,-0.111111,1,2
3_3_83,4.1e-05,75,1.82927e+06,-0.2,1,2
5_4_43,0.013729,19537,1.42305e+06,-0.142857,2,2
3_3_23,2.8e-05,56,2e+06,-0.2,1,1
5_2_94,8e-06,9,1.125e+06,-0.333333,2,4
5_2_57,9e-06,10,1.11111e+06,-0.333333,0,4
3_2_14,7e-06,7,1e+06,-0.333333,0,1
4_4_4,0.000947,1758,1.85639e+06,-0.142857,2,2
3_3_62,4.1e-05,75,1.82927e+06,-0.2,1,2
3_3_8,3.3e-05,60,1.81818e+06,-0.2,0,1
3_2_71,6e-06,6,1e+06,-0.333333,0,1
2_3_26,9e-06,17,1.88889e+06,-0.2,0,1
2_3_59,9e-06,17,1.88889e+06,-0.2,0,1
6_3_91,0.000263,277,1.05323e+06,-0.2,5,2
5_4_22,0.018223,25009,1.37239e+06,-0.142857,1,4
4_2_5,8e-06,7,875000,-0.333333,3,1
5_4_98,0.012232,14282,1.16759e+06,-0.142857,1,2
5_3_90,0.000165,201,1.21818e+06,-0.2,4,2
3_5_41,0.001707,3269,1.91506e+06,-0.111111,1,2
6_3_71,0.000266,286,1.07519e+06,-0.2,2,2
3_2_38,9e-06,7,777778,-0.333333,0,1
3_3_57,3.8e-05,61,1.60526e+06,-0.2,2,0
3_5_60,0.001693,3285,1.94034e+06,-0.111111,1,2
3_3_19,3.8e-05,61,1.60526e+06,-0.2,0,1
3_5_80,0.001768,3269,1.84898e+06,-0.111111,1,2
4_2_26,9e-06,8,888889,-0.333333,1,1
3_2_68,8e-06,7,875000,-0.333333,0,1
5_2_69,8e-06,8,1e+06,-0.333333,0,2
3_2_22,8e-06,6,750000,-0.333333,0,1
5_3_39,0.000184,215,1.16848e+06,-0.2,1,2
5_4_77,0.008791,10527,1.19747e+06,-0.142857,2,2
3_2_57,9e-06,7,777778,-0.333333,0,1
2_2_32,3e-06,3,1e+06,-0.333333,1,0
2_2_28,7e-06,5,714286,-0.333333,0,1
4_2_10,8e-06,8,1e+06,-0.333333,1,1
3_3_51,5e-05,61,1.22e+06,-0.2,2,0
5_4_97,0.010789,12624,1.17008e+06,-0.142857,1,2
4_2_42,9e-06,9,1e+06,-0.333333,3,3
3_3_61,3.8e-05,61,1.60526e+06,-0.2,2,0
3_4_29,0.000108,218,2.01852e+06,-0.142857,0,1
3_4_71,0.000241,446,1.85062e+06,-0.142857,1,2
4_5_91,0.029344,47733,1.62667e+06,-0.111111,0,2
4_2_37,7e-06,8,1.14286e+06,-0.333333,2,1
5_2_19,7e-06,9,1.28571e+06,-0.333333,0,4
3_4_7,0.000199,457,2.29648e+06,-0.142857,1,2
4_2_84,8e-06,9,1.125e+06,-0.333333,2,3
5_4_65,0.021883,25007,1.14276e+06,-0.142857,0,4
6_3_97,0.000251,277,1.10359e+06,-0.2,0,3
3_2_48,7e-06,4,571429,-0.333333,2,2
3_5_94,0.001986,3289,1.65609e+06,-0.111111,1,2
6_2_72,1.4e-05,12,857143,-0.333333,5,3
4_5_85,0.034057,47809,1.40379e+06,-0.111111,3,1
5_4_88,0.017271,22300,1.29118e+06,-0.142857,3,2
4_3_89,7.5e-05,121,1.61333e+06,-0.2,2,3
6_2_92,1.2e-05,12,1e+06,-0.333333,4,3
5_2_31,1.5e-05,10,666667,-0.333333,3,4
3_2_63,1.2e-05,7,583333,-0.333333,0,1
5_3_77,0.000165,203,1.2303e+06,-0.2,4,2
6_3_54,0.000277,297,1.0722e+06,-0.2,1,3
5_4_42,0.018303,21360,1.16702e+06,-0.142857,0,2
4_4_96,0.000856,1326,1.54907e+06,-0.142857,1,3
5_3_82,0.000182,201,1.1044e+06,-0.2,3,2
5_4_10,0.025948,29189,1.1249e+06,-0.142857,1,2
6_3_13,0.000257,281,1.09339e+06,-0.2,0,3
4_5_78,0.024548,34815,1.41824e+06,-0.111111,1,2
6_2_33,1.5e-05,13,866667,-0.333333,4,3
3_2_39,7e-06,4,571429,-0.333333,1,2
6_2_91,1.5e-05,13,866667,-0.333333,5,3
3_4_0,0.000236,440,1.86441e+06,-0.142857,2,2
3_3_17,3.8e-05,61,1.60526e+06,-0.2,2,0
6_2_66,1.5e-05,13,866667,-0.333333,5,3
3_5_13,0.002098,3308,1.57674e+06,-0.111111,1,2
6_2_18,1.4e-05,12,857143,-0.333333,0,4
3_4_50,0.000108,218,2.01852e+06,-0.142857,1,1
3_4_20,0.000244,450,1.84426e+06,-0.142857,1,2
3_4_92,0.000314,450,1.43312e+06,-0.142857,1,2
6_2_37,1.6e-05,13,812500,-0.333333,3,3
4_3_1,8.5e-05,127,1.49412e+06,-0.2,2,3
4_2_14,8e-06,7,875000,-0.333333,3,1
3_4_53,0.0003,454,1.51333e+06,-0.142857,1,2
4_5_90,0.026359,36817,1.39675e+06,-0.111111,1,2
5_2_56,1e-05,10,1e+06,-0.333333,1,4
6_3_81,0.000278,297,1.06835e+06,-0.2,0,3
3_3_18,3.3e-05,56,1.69697e+06,-0.2,0,1
2_3_86,1.2e-05,18,1.5e+06,-0.2,0,1
4_2_70,8e-06,7,875000,-0.333333,3,1
6_2_43,1.4e-05,12,857143,-0.333333,2,4
4_3_72,0.0001,135,1.35e+06,-0.2,3,2
2_2_52,4e-06,3,750000,-0.333333,1,0
3_5_43,0.001735,3269,1.88415e+06,-0.111111,1,2
5_4_67,0.012975,14232,1.09688e+06,-0.142857,2,2
3_3_97,3.8e-05,61,1.60526e+06,-0.2,2,0
4_3_58,0.000114,113,991228,-0.2,2,3
5_2_28,1.6e-05,11,687500,-0.333333,2,3
4_3_76,8.8e-05,125,1.42045e+06,-0.2,3,2
3_4_5,0.000246,435,1.76829e+06,-0.142857,2,2
3_4_40,0.000228,432,1.89474e+06,-0.142857,1,2
4_4_74,0.00147,1759,1.1966e+06,-0.142857,1,2
4_5_84,0.023715,28797,1.21429e+06,-0.111111,3,1
5_2_70,1.1e-05,9,818182,-0.333333,4,4
2_3_34,1.2e-05,17,1.41667e+06,-0.2,0,1
3_5_21,0.001746,3277,1.87686e+06,-0.111111,1,2
4_3_12,8.2e-05,121,1.47561e+06,-0.2,2,3
3_3_54,3.9e-05,61,1.5641e+06,-0.2,2,0
3_4_64,0.000263,450,1.71103e+06,-0.142857,1,2
3_3_60,4e-05,60,1.5e+06,-0.2,0,1
6_2_83,1.5e-05,12,800000,-0.333333,3,3
3_2_28,2.3e-05,7,304348,-0.333333,0,1
5_3_21,0.000217,201,926267,-0.2,3,2
5_3_61,0.000223,201,901345,-0.2,0,3
3_4_74,0.000247,440,1.78138e+06,-0.142857,2,2
3_5_70,0.001798,3269,1.81813e+06,-0.111111,1,2
6_3_48,0.000432,313,724537,-0.2,2,3
6_3_38,0.000258,273,1.05814e+06,-0.2,4,2
2_2_56,4e-06,3,750000,-0.333333,1,0
2_3_79,1.2e-05,17,1.41667e+06,-0.2,0,1
4_3_52,8.5e-05,119,1.4e+06,-0.2,1,3
4_2_50,1.5e-05,9,600000,-0.333333,2,3
6_2_75,1.2e-05,10,833333,-0.333333,0,5
3_5_64,0.001759,3269,1.85844e+06,-0.111111,1,2
4_5_5,0.039822,51685,1.2979e+06,-0.111111,0,2
6_2_41,1.1e-05,10,909091,-0.333333,4,4
2_2_98,6e-06,5,833333,-0.333333,0,1
5_4_16,0.011772,13184,1.11995e+06,-0.142857,4,2
4_5_52,0.026062,36729,1.40929e+06,-0.111111,1,2
5_3_97,0.000164,198,1.20732e+06,-0.2,0,3
2_2_37,6e-06,3,500000,-0.333333,0,0
3_3_98,3.3e-05,55,1.66667e+06,-0.2,1,1
6_2_19,1.4e-05,12,857143,-0.333333,0,4
6_2_97,1.6e-05,12,750000,-0.333333,1,3
2_3_76,1.2e-05,18,1.5e+06,-0.2,0,1
4_2_88,1.3e-05,9,692308,-0.333333,3,3
4_4_93,0.00143,2001,1.3993e+06,-0.142857,1,2
3_2_49,1.2e-05,6,500000,-0.333333,2,1
5_3_11,0.000166,198,1.19277e+06,-0.2,0,3
6_2_78,1.6e-05,13,812500,-0.333333,3,3
3_3_45,3.2e-05,55,1.71875e+06,-0.2,0,1
2_2_78,5e-06,5,1e+06,-0.333333,0,1
3_2_12,8e-06,6,750000,-0.333333,2,1
5_4_58,0.018535,21438,1.15662e+06,-0.142857,1,2
4_5_44,0.025709,36698,1.42744e+06,-0.111111,0,2
5_3_73,0.000172,207,1.20349e+06,-0.2,4,2
6_3_7,0.000276,305,1.10507e+06,-0.2,3,3
4_2_85,1.5e-05,7,466667,-0.333333,0,2
4_4_52,0.001047,1543,1.47373e+06,-0.142857,2,2
4_5_27,0.039927,51725,1.29549e+06,-0.111111,0,2
5_4_30,0.028912,31775,1.09902e+06,-0.142857,3,2
5_4_26,0.008513,10687,1.25537e+06,-0.142857,0,3
3_5_55,0.001729,3274,1.89358e+06,-0.111111,0,0
3_5_23,0.00166,3239,1.9512e+06,-0.111111,0,0
